name,description
Mugenshi: RELEASE,"Mugenshi: RELEASE is a 'Ninja Action – Attack' card from the 'Welcome to Rathe' set. It costs 1, pitches for 2, defends for 3, has 4 power, and has the abilities; **Katsu Specialization**

**Combo** - If Whelming Gustwave was the last attack this combat chain, Mugenshi: RELEASE gains +1{p}, **go again**, and ""If this hits, search your deck for any number of cards named Lord of Wind, reveal them, put them into your hand, then shuffle your deck."""
Nature's Path Pilgrimage (Red),"Nature's Path Pilgrimage (Red) is a 'Warrior Action' card from the 'Welcome to Rathe' set. It costs 1, pitches for 1, defends for 3, has None power, and has the abilities; Your next weapon attack this turn gains +3{p} and ""If this hits and you have no cards in your arsenal, reveal the top card of your deck. If it's an action card, put it face down into your arsenal.""

**Go again**"
Nature's Path Pilgrimage (Yellow),"Nature's Path Pilgrimage (Yellow) is a 'Warrior Action' card from the 'Welcome to Rathe' set. It costs 1, pitches for 2, defends for 3, has None power, and has the abilities; Your next weapon attack this turn gains +2{p} and ""If this hits and you have no cards in your arsenal, reveal the top card of your deck. If it's an action card, put it face down into your arsenal.""

**Go again**"
Nature's Path Pilgrimage (Blue),"Nature's Path Pilgrimage (Blue) is a 'Warrior Action' card from the 'Welcome to Rathe' set. It costs 1, pitches for 3, defends for 3, has None power, and has the abilities; Your next weapon attack this turn gains +1{p} and ""If this hits and you have no cards in your arsenal, reveal the top card of your deck. If it's an action card, put it face down into your arsenal.""

**Go again**"
Nimble Strike (Red),"Nimble Strike (Red) is a 'Generic Action – Attack' card from the 'Welcome to Rathe' set. It costs 1, pitches for 1, defends for 2, has 4 power, and has the abilities; As an additional cost to play Nimble Strike, you may banish a card named Nimblism from your graveyard. If you do, Nimble Strike gain +1{p} and **go again**."
Nimble Strike (Yellow),"Nimble Strike (Yellow) is a 'Generic Action – Attack' card from the 'Welcome to Rathe' set. It costs 1, pitches for 2, defends for 2, has 3 power, and has the abilities; As an additional cost to play Nimble Strike, you may banish a card named Nimblism from your graveyard. If you do, Nimble Strike gain +1{p} and **go again**."
Nimble Strike (Blue),"Nimble Strike (Blue) is a 'Generic Action – Attack' card from the 'Welcome to Rathe' set. It costs 1, pitches for 3, defends for 2, has 2 power, and has the abilities; As an additional cost to play Nimble Strike, you may banish a card named Nimblism from your graveyard. If you do, Nimble Strike gain +1{p} and **go again**."
Nimblism (Red),"Nimblism (Red) is a 'Generic Action' card from the 'Welcome to Rathe' set. It costs 0, pitches for 1, defends for 2, has None power, and has the abilities; The next attack action card with cost 1 or less you play this turn gains +3{p}.

**Go again**"
Nimblism (Yellow),"Nimblism (Yellow) is a 'Generic Action' card from the 'Welcome to Rathe' set. It costs 0, pitches for 2, defends for 2, has None power, and has the abilities; The next attack action card with cost 1 or less you play this turn gains +2{p}.

**Go again**"
Nimblism (Blue),"Nimblism (Blue) is a 'Generic Action' card from the 'Welcome to Rathe' set. It costs 0, pitches for 3, defends for 2, has None power, and has the abilities; The next attack action card with cost 1 or less you play this turn gains +1{p}.

**Go again**"
Open the Center (Red),"Open the Center (Red) is a 'Ninja Action – Attack' card from the 'Welcome to Rathe' set. It costs 2, pitches for 1, defends for 3, has 5 power, and has the abilities; **Combo** - If Head Jab was the last attack this combat chain, Open the Center gains +1{p}, **go again**, and **dominate**."
Open the Center (Yellow),"Open the Center (Yellow) is a 'Ninja Action – Attack' card from the 'Welcome to Rathe' set. It costs 2, pitches for 2, defends for 3, has 4 power, and has the abilities; **Combo** - If Head Jab was the last attack this combat chain, Open the Center gains +1{p}, **go again**, and **dominate**."
Open the Center (Blue),"Open the Center (Blue) is a 'Ninja Action – Attack' card from the 'Welcome to Rathe' set. It costs 2, pitches for 3, defends for 3, has 3 power, and has the abilities; **Combo** - If Head Jab was the last attack this combat chain, Open the Center gains +1{p}, **go again**, and **dominate**."
Overpower (Red),"Overpower (Red) is a 'Warrior Attack Reaction' card from the 'Welcome to Rathe' set. It costs 3, pitches for 1, defends for 3, has None power, and has the abilities; Target weapon attack gains +4{p}

**Reprise** - If the defending hero has defended with a card from their hand this chain link, instead it gains +6{p}."
Overpower (Yellow),"Overpower (Yellow) is a 'Warrior Attack Reaction' card from the 'Welcome to Rathe' set. It costs 3, pitches for 2, defends for 3, has None power, and has the abilities; Target weapon attack gains +3{p}

**Reprise** - If the defending hero has defended with a card from their hand this chain link, instead it gains +5{p}."
Overpower (Blue),"Overpower (Blue) is a 'Warrior Attack Reaction' card from the 'Welcome to Rathe' set. It costs 3, pitches for 3, defends for 3, has None power, and has the abilities; Target weapon attack gains +2{p}

**Reprise** - If the defending hero has defended with a card from their hand this chain link, instead it gains +4{p}."
Pack Hunt (Red),"Pack Hunt (Red) is a 'Brute Action – Attack' card from the 'Welcome to Rathe' set. It costs 2, pitches for 1, defends for 3, has 6 power, and has the abilities; When you attack with Pack Hunt, **intimidate**."
Pack Hunt (Yellow),"Pack Hunt (Yellow) is a 'Brute Action – Attack' card from the 'Welcome to Rathe' set. It costs 2, pitches for 2, defends for 3, has 5 power, and has the abilities; When you attack with Pack Hunt, **intimidate**."
Pack Hunt (Blue),"Pack Hunt (Blue) is a 'Brute Action – Attack' card from the 'Welcome to Rathe' set. It costs 2, pitches for 3, defends for 3, has 4 power, and has the abilities; When you attack with Pack Hunt, **intimidate**."
Potion of Strength,"Potion of Strength is a 'Generic Action – Item' card from the 'Welcome to Rathe' set. It costs 0, pitches for 3, defends for None, has None power, and has the abilities; **Action** - Destroy Potion of Strength: Your next attack this turn gains +2{p}. **Go again**"
Pounding Gale,"Pounding Gale is a 'Ninja Action – Attack' card from the 'Welcome to Rathe' set. It costs 1, pitches for 1, defends for 3, has 5 power, and has the abilities; **Combo** - If Open the Center was the last attack this combat chain, Pounding Gale gains ""If Pounding Gale would deal damage to a hero, instead it deals double that much damage"""
Primeval Bellow (Red),"Primeval Bellow (Red) is a 'Brute Action' card from the 'Welcome to Rathe' set. It costs 0, pitches for 1, defends for 3, has None power, and has the abilities; As an additional cost to play Primeval Bellow, discard a random card.

Your next Brute attack this turn gains +5{p}.

**Go again**"
Primeval Bellow (Yellow),"Primeval Bellow (Yellow) is a 'Brute Action' card from the 'Welcome to Rathe' set. It costs 0, pitches for 2, defends for 3, has None power, and has the abilities; As an additional cost to play Primeval Bellow, discard a random card.

Your next Brute attack this turn gains +4{p}.

**Go again**"
Primeval Bellow (Blue),"Primeval Bellow (Blue) is a 'Brute Action' card from the 'Welcome to Rathe' set. It costs 0, pitches for 3, defends for 3, has None power, and has the abilities; As an additional cost to play Primeval Bellow, discard a random card.

Your next Brute attack this turn gains +3{p}.

**Go again**"
Pummel (Red),"Pummel (Red) is a 'Generic Attack Reaction' card from the 'Welcome to Rathe' set. It costs 2, pitches for 1, defends for 2, has None power, and has the abilities; Choose 1;
- Target club or hammer weapon attack gains +4{p}.
- Target attack action with cost 2 or greater gains +4{p} and ""If this hits a hero, they discard a card."""
Pummel (Yellow),"Pummel (Yellow) is a 'Generic Attack Reaction' card from the 'Welcome to Rathe' set. It costs 2, pitches for 2, defends for 2, has None power, and has the abilities; Choose 1;
- Target club or hammer weapon attack gains +3{p}.
- Target attack action with cost 2 or greater gains +3{p} and ""If this hits a hero, they discard a card."""
Pummel (Blue),"Pummel (Blue) is a 'Generic Attack Reaction' card from the 'Welcome to Rathe' set. It costs 2, pitches for 3, defends for 2, has None power, and has the abilities; Choose 1;
- Target club or hammer weapon attack gains +2{p}.
- Target attack action with cost 2 or greater gains +2{p} and ""If this hits a hero, they discard a card."""
Quicken,"Quicken is a 'Generic Token – Aura' card from the 'Welcome to Rathe' set. It costs None, pitches for None, defends for None, has None power, and has the abilities; When you play an attack action card or activate a weapon attack, destroy Quicken and the attack gains **go again**."
Raging Onslaught (Red),"Raging Onslaught (Red) is a 'Generic Action – Attack' card from the 'Welcome to Rathe' set. It costs 3, pitches for 1, defends for 3, has 7 power, and has the abilities; None"
Raging Onslaught (Yellow),"Raging Onslaught (Yellow) is a 'Generic Action – Attack' card from the 'Welcome to Rathe' set. It costs 3, pitches for 2, defends for 3, has 6 power, and has the abilities; None"
Raging Onslaught (Blue),"Raging Onslaught (Blue) is a 'Generic Action – Attack' card from the 'Welcome to Rathe' set. It costs 3, pitches for 3, defends for 3, has 5 power, and has the abilities; None"
Razor Reflex (Red),"Razor Reflex (Red) is a 'Generic Attack Reaction' card from the 'Welcome to Rathe' set. It costs 1, pitches for 1, defends for 2, has None power, and has the abilities; Choose 1;
- Target sword or dagger weapon attack gains +3{p}.
- Target attack action card with cost 1 or less gains +3{p} and ""If this hits, this attack gains **go again**."""
Razor Reflex (Yellow),"Razor Reflex (Yellow) is a 'Generic Attack Reaction' card from the 'Welcome to Rathe' set. It costs 1, pitches for 2, defends for 2, has None power, and has the abilities; Choose 1;
- Target sword or dagger weapon attack gains +2{p}.
- Target attack action card with cost 1 or less gains +2{p} and ""If this hits, this attack gains **go again**."""
Razor Reflex (Blue),"Razor Reflex (Blue) is a 'Generic Attack Reaction' card from the 'Welcome to Rathe' set. It costs 1, pitches for 3, defends for 2, has None power, and has the abilities; Choose 1;
- Target sword or dagger weapon attack gains +1{p}.
- Target attack action card with cost 1 or less gains +1{p} and ""If this hits, this attack gains **go again**."""
Reckless Swing,"Reckless Swing is a 'Brute Defense Reaction' card from the 'Welcome to Rathe' set. It costs 0, pitches for 3, defends for 4, has None power, and has the abilities; As an additional cost to play Reckless Swing, discard a random card.

If the discarded card has 6 or more {p}, deal 2 damage to the attacking hero."
Refraction Bolters,"Refraction Bolters is a 'Warrior Equipment – Legs' card from the 'Welcome to Rathe' set. It defends for 1 and has the abilities; When a weapon you control hits, you may destroy Refraction Bolters. If you do, the attack gains **go again**.

**Battleworn**"
Regurgitating Slog (Red),"Regurgitating Slog (Red) is a 'Generic Action – Attack' card from the 'Welcome to Rathe' set. It costs 2, pitches for 1, defends for 2, has 6 power, and has the abilities; As an additional cost to play Regurgitating Slog, you may banish a card named Sloggism from your graveyard. If you do, Regurgitating Slog gains **dominate**."
Regurgitating Slog (Yellow),"Regurgitating Slog (Yellow) is a 'Generic Action – Attack' card from the 'Welcome to Rathe' set. It costs 2, pitches for 2, defends for 2, has 5 power, and has the abilities; As an additional cost to play Regurgitating Slog, you may banish a card named Sloggism from your graveyard. If you do, Regurgitating Slog gains **dominate**."
Regurgitating Slog (Blue),"Regurgitating Slog (Blue) is a 'Generic Action – Attack' card from the 'Welcome to Rathe' set. It costs 2, pitches for 3, defends for 2, has 4 power, and has the abilities; As an additional cost to play Regurgitating Slog, you may banish a card named Sloggism from your graveyard. If you do, Regurgitating Slog gains **dominate**."
Remembrance,"Remembrance is a 'Generic Instant' card from the 'Welcome to Rathe' set. It costs 0, pitches for 2, defends for None, has None power, and has the abilities; Shuffle up to 3 action cards from your graveyard into your deck.

Banish Remembrance."
Rhinar,"Rhinar is a 'Brute Hero – Young' card from the 'Welcome to Rathe' set. It costs None, pitches for None, defends for None, has None power, and has the abilities; Whenever you discard a card with 6 or more {p} during your action phase, **intimidate**."
"Rhinar, Reckless Rampage","Rhinar, Reckless Rampage is a 'Brute Hero' card from the 'Welcome to Rathe' set. It costs None, pitches for None, defends for None, has None power, and has the abilities; Whenever you discard a card with 6 or more {p} during your action phase, **intimidate**."
Rising Knee Thrust (Red),"Rising Knee Thrust (Red) is a 'Ninja Action – Attack' card from the 'Welcome to Rathe' set. It costs 0, pitches for 1, defends for 3, has 3 power, and has the abilities; **Combo** - If Leg Tap was the last attack this combat chain, Rising Knee Thrust gains +2{p} and **go again**."
Rising Knee Thrust (Yellow),"Rising Knee Thrust (Yellow) is a 'Ninja Action – Attack' card from the 'Welcome to Rathe' set. It costs 0, pitches for 2, defends for 3, has 2 power, and has the abilities; **Combo** - If Leg Tap was the last attack this combat chain, Rising Knee Thrust gains +2{p} and **go again**."
Rising Knee Thrust (Blue),"Rising Knee Thrust (Blue) is a 'Ninja Action – Attack' card from the 'Welcome to Rathe' set. It costs 0, pitches for 3, defends for 3, has 1 power, and has the abilities; **Combo** - If Leg Tap was the last attack this combat chain, Rising Knee Thrust gains +2{p} and **go again**."
Romping Club,"Romping Club is a 'Brute Weapon - Club (2H)' card from the 'Welcome to Rathe' set. It has 4 power and the abilities; **Once per Turn Action** - {r}{r}: **Attack**

**Once per Turn Effect** – When you discard a card with 6 or more {p}, Romping Club gains +1{p} until end of turn."
Rout,"Rout is a 'Warrior Attack Reaction' card from the 'Welcome to Rathe' set. It costs 2, pitches for 1, defends for 3, has None power, and has the abilities; Target weapon attack gains +3{p}.

**Reprise** - If the defending hero has defended with a card from their hand this chain link, you may return target non-equipment defending card to its owners hand."
Sand Sketched Plan,"Sand Sketched Plan is a 'Brute Action' card from the 'Welcome to Rathe' set. It costs 0, pitches for 3, defends for 3, has None power, and has the abilities; **Rhinar Specialization**

Search your deck for a card, put it into your hand, discard a random card, then shuffle your deck.

If the discarded card has 6 or more {p}, gain 2 action points."
Savage Feast (Red),"Savage Feast (Red) is a 'Brute Action – Attack' card from the 'Welcome to Rathe' set. It costs 1, pitches for 1, defends for 3, has 6 power, and has the abilities; As an additional cost to play Savage Feast discard a random card.

When you attack with Savage Feast, if a card with 6 or more {p} was discarded as an additional cost to play it, draw a card."
Savage Feast (Yellow),"Savage Feast (Yellow) is a 'Brute Action – Attack' card from the 'Welcome to Rathe' set. It costs 1, pitches for 2, defends for 3, has 5 power, and has the abilities; As an additional cost to play Savage Feast discard a random card.

When you attack with Savage Feast, if a card with 6 or more {p} was discarded as an additional cost to play it, draw a card."
Savage Feast (Blue),"Savage Feast (Blue) is a 'Brute Action – Attack' card from the 'Welcome to Rathe' set. It costs 1, pitches for 3, defends for 3, has 4 power, and has the abilities; As an additional cost to play Savage Feast discard a random card.

When you attack with Savage Feast, if a card with 6 or more {p} was discarded as an additional cost to play it, draw a card."
Savage Swing (Red),"Savage Swing (Red) is a 'Brute Action – Attack' card from the 'Welcome to Rathe' set. It costs 1, pitches for 1, defends for 3, has 7 power, and has the abilities; As an additional cost to play Savage Swing, discard a random card."
Savage Swing (Yellow),"Savage Swing (Yellow) is a 'Brute Action – Attack' card from the 'Welcome to Rathe' set. It costs 1, pitches for 2, defends for 3, has 6 power, and has the abilities; As an additional cost to play Savage Swing, discard a random card."
Savage Swing (Blue),"Savage Swing (Blue) is a 'Brute Action – Attack' card from the 'Welcome to Rathe' set. It costs 1, pitches for 3, defends for 3, has 5 power, and has the abilities; As an additional cost to play Savage Swing, discard a random card."
Scabskin Leathers,"Scabskin Leathers is a 'Brute Equipment - Legs' card from the 'Welcome to Rathe' set. It defends for 2 and has the abilities; **Once per turn Action** - 0: Roll a 6 sided die. Gain action points equal to half the number rolled, rounded down.

**Battleworn**"
Scar for a Scar (Red),"Scar for a Scar (Red) is a 'Generic Action – Attack' card from the 'Welcome to Rathe' set. It costs 0, pitches for 1, defends for 2, has 4 power, and has the abilities; When you play Scar for a Scar, if you have less {h} than an opposing hero, it gains **go again**."
Scar for a Scar (Yellow),"Scar for a Scar (Yellow) is a 'Generic Action – Attack' card from the 'Welcome to Rathe' set. It costs 0, pitches for 2, defends for 2, has 3 power, and has the abilities; When you play Scar for a Scar, if you have less {h} than an opposing hero, it gains **go again**."
Scar for a Scar (Blue),"Scar for a Scar (Blue) is a 'Generic Action – Attack' card from the 'Welcome to Rathe' set. It costs 0, pitches for 3, defends for 2, has 2 power, and has the abilities; When you play Scar for a Scar, if you have less {h} than an opposing hero, it gains **go again**."
Scour the Battlescape (Red),"Scour the Battlescape (Red) is a 'Generic Action – Attack' card from the 'Welcome to Rathe' set. It costs 0, pitches for 1, defends for 2, has 3 power, and has the abilities; You may put a card from your hand on the bottom of your deck. If you do, draw a card.

If Scour the Battlescape is played from arsenal, it gains **go again**."
Scour the Battlescape (Yellow),"Scour the Battlescape (Yellow) is a 'Generic Action – Attack' card from the 'Welcome to Rathe' set. It costs 0, pitches for 2, defends for 2, has 2 power, and has the abilities; You may put a card from your hand on the bottom of your deck. If you do, draw a card.

If Scour the Battlescape is played from arsenal, it gains **go again**."
Scour the Battlescape (Blue),"Scour the Battlescape (Blue) is a 'Generic Action – Attack' card from the 'Welcome to Rathe' set. It costs 0, pitches for 3, defends for 2, has 1 power, and has the abilities; You may put a card from your hand on the bottom of your deck. If you do, draw a card.

If Scour the Battlescape is played from arsenal, it gains **go again**."
Seismic Surge,"Seismic Surge is a 'Guardian Token – Aura' card from the 'Welcome to Rathe' set. It costs None, pitches for None, defends for None, has None power, and has the abilities; At the beginning of your action phase, destroy Seismic Surge then the next Guardian attack action card you play this turn costs {r} less to play."
Sharpen Steel (Red),"Sharpen Steel (Red) is a 'Warrior Action' card from the 'Welcome to Rathe' set. It costs 0, pitches for 1, defends for 3, has None power, and has the abilities; Your next weapon attack this turn gains +3{p}.

**Go again**"
Sharpen Steel (Yellow),"Sharpen Steel (Yellow) is a 'Warrior Action' card from the 'Welcome to Rathe' set. It costs 0, pitches for 2, defends for 3, has None power, and has the abilities; Your next weapon attack this turn gains +2{p}.

**Go again**"
Sharpen Steel (Blue),"Sharpen Steel (Blue) is a 'Warrior Action' card from the 'Welcome to Rathe' set. It costs 0, pitches for 3, defends for 3, has None power, and has the abilities; Your next weapon attack this turn gains +1{p}.

**Go again**"
Show Time!,"Show Time! is a 'Guardian Action – Aura' card from the 'Welcome to Rathe' set. It costs 3, pitches for 3, defends for 3, has None power, and has the abilities; **Bravo Specialization**

When Show Time! enters the arena, search your deck for a Guardian attack action card, reveal it and put it into your hand, then shuffle your deck.

At the beginning of your action phase, destroy Show Time! then draw a card."
Sigil of Solace (Red),"Sigil of Solace (Red) is a 'Generic Instant' card from the 'Welcome to Rathe' set. It costs 0, pitches for 1, defends for None, has None power, and has the abilities; Gain 3{h}"
Sigil of Solace (Yellow),"Sigil of Solace (Yellow) is a 'Generic Instant' card from the 'Welcome to Rathe' set. It costs 0, pitches for 2, defends for None, has None power, and has the abilities; Gain 2{h}"
Sigil of Solace (Blue),"Sigil of Solace (Blue) is a 'Generic Instant' card from the 'Welcome to Rathe' set. It costs 0, pitches for 3, defends for None, has None power, and has the abilities; Gain 1{h}"
Singing Steelblade,"Singing Steelblade is a 'Warrior Attack Reaction' card from the 'Welcome to Rathe' set. It costs 1, pitches for 2, defends for 3, has None power, and has the abilities; **Dorinthea Specialization**

Target weapon attack gains +1{p}.

**Reprise** - If the defending hero has defended with a card from hand this chain link, search your deck for an attack reaction card, banish it face up, then shuffle your deck. You may play it this chain link."
Sink Below (Red),"Sink Below (Red) is a 'Generic Defense Reaction' card from the 'Welcome to Rathe' set. It costs 0, pitches for 1, defends for 4, has None power, and has the abilities; You may put a card from your hand on the bottom of your deck. If you do, draw a card."
Sink Below (Yellow),"Sink Below (Yellow) is a 'Generic Defense Reaction' card from the 'Welcome to Rathe' set. It costs 0, pitches for 2, defends for 3, has None power, and has the abilities; You may put a card from your hand on the bottom of your deck. If you do, draw a card."
Sink Below (Blue),"Sink Below (Blue) is a 'Generic Defense Reaction' card from the 'Welcome to Rathe' set. It costs 0, pitches for 3, defends for 2, has None power, and has the abilities; You may put a card from your hand on the bottom of your deck. If you do, draw a card."
Sloggism (Red),"Sloggism (Red) is a 'Generic Action' card from the 'Welcome to Rathe' set. It costs 3, pitches for 1, defends for 2, has None power, and has the abilities; The next attack action card with cost 2 or greater you play this turn gains +6{p}.

**Go again**"
Sloggism (Yellow),"Sloggism (Yellow) is a 'Generic Action' card from the 'Welcome to Rathe' set. It costs 3, pitches for 2, defends for 2, has None power, and has the abilities; The next attack action card with cost 2 or greater you play this turn gains +5{p}.

**Go again**"
Sloggism (Blue),"Sloggism (Blue) is a 'Generic Action' card from the 'Welcome to Rathe' set. It costs 3, pitches for 3, defends for 2, has None power, and has the abilities; The next attack action card with cost 2 or greater you play this turn gains +4{p}.

**Go again**"
Smash Instinct (Red),"Smash Instinct (Red) is a 'Brute Action – Attack' card from the 'Welcome to Rathe' set. It costs 3, pitches for 1, defends for 3, has 7 power, and has the abilities; When you attack with Smash Instinct, **intimidate**."
Smash Instinct (Yellow),"Smash Instinct (Yellow) is a 'Brute Action – Attack' card from the 'Welcome to Rathe' set. It costs 3, pitches for 2, defends for 3, has 6 power, and has the abilities; When you attack with Smash Instinct, **intimidate**."
Smash Instinct (Blue),"Smash Instinct (Blue) is a 'Brute Action – Attack' card from the 'Welcome to Rathe' set. It costs 3, pitches for 3, defends for 3, has 5 power, and has the abilities; When you attack with Smash Instinct, **intimidate**."
Snapdragon Scalers,Snapdragon Scalers is a 'Generic Equipment – Legs' card from the 'Welcome to Rathe' set. It defends for 0 and has the abilities; **Attack Reaction** - Destroy Snapdragon Scalers: Target attack action card with cost 1 or less gains **go again**.
Snatch (Red),"Snatch (Red) is a 'Generic Action – Attack' card from the 'Welcome to Rathe' set. It costs 0, pitches for 1, defends for 2, has 4 power, and has the abilities; If Snatch hits, draw a card."
Snatch (Yellow),"Snatch (Yellow) is a 'Generic Action – Attack' card from the 'Welcome to Rathe' set. It costs 0, pitches for 2, defends for 2, has 3 power, and has the abilities; If Snatch hits, draw a card."
Snatch (Blue),"Snatch (Blue) is a 'Generic Action – Attack' card from the 'Welcome to Rathe' set. It costs 0, pitches for 3, defends for 2, has 2 power, and has the abilities; If Snatch hits, draw a card."
Spinal Crush,"Spinal Crush is a 'Guardian Action – Attack' card from the 'Welcome to Rathe' set. It costs 5, pitches for 1, defends for 3, has 9 power, and has the abilities; **Crush** - If Spinal Crush deals 4 or more damage to a hero, action cards, activated abilities, and attacks they control lose and can't gain **go again** during their next action phase."
Staunch Response (Red),"Staunch Response (Red) is a 'Guardian Defense Reaction' card from the 'Welcome to Rathe' set. It costs 2, pitches for 1, defends for 7, has None power, and has the abilities; As an additional cost to play Staunch Response you may pay {r}{r}{r}{r}. If you do, Staunch Response gains +3{d}."
Staunch Response (Yellow),"Staunch Response (Yellow) is a 'Guardian Defense Reaction' card from the 'Welcome to Rathe' set. It costs 2, pitches for 2, defends for 6, has None power, and has the abilities; As an additional cost to play Staunch Response you may pay {r}{r}{r}{r}. If you do, Staunch Response gains +3{d}."
Staunch Response (Blue),"Staunch Response (Blue) is a 'Guardian Defense Reaction' card from the 'Welcome to Rathe' set. It costs 2, pitches for 3, defends for 5, has None power, and has the abilities; As an additional cost to play Staunch Response you may pay {r}{r}{r}{r}. If you do, Staunch Response gains +3{d}."
Steelblade Shunt (Red),"Steelblade Shunt (Red) is a 'Warrior Defense Reaction' card from the 'Welcome to Rathe' set. It costs 1, pitches for 1, defends for 6, has None power, and has the abilities; If Steelblade Shunt defends a weapon attack, deal 1 damage to the attacking hero."
Steelblade Shunt (Yellow),"Steelblade Shunt (Yellow) is a 'Warrior Defense Reaction' card from the 'Welcome to Rathe' set. It costs 1, pitches for 2, defends for 5, has None power, and has the abilities; If Steelblade Shunt defends a weapon attack, deal 1 damage to the attacking hero."
Steelblade Shunt (Blue),"Steelblade Shunt (Blue) is a 'Warrior Defense Reaction' card from the 'Welcome to Rathe' set. It costs 1, pitches for 3, defends for 4, has None power, and has the abilities; If Steelblade Shunt defends a weapon attack, deal 1 damage to the attacking hero."
Steelblade Supremacy,"Steelblade Supremacy is a 'Warrior Action' card from the 'Welcome to Rathe' set. It costs 1, pitches for 1, defends for 3, has None power, and has the abilities; **Dorinthea Specialization**

Until end of turn, target weapon gains +2{p} and ""Whenever this weapon hits, draw a card.""

**Go again**"
Stonewall Confidence (Red),"Stonewall Confidence (Red) is a 'Guardian Action – Aura' card from the 'Welcome to Rathe' set. It costs 2, pitches for 1, defends for 3, has None power, and has the abilities; **Go again**

Cards you control with cost 3 or greater gain +4{d} while defending.

At the beginning of your action phase, destroy Stonewall Confidence."
Stonewall Confidence (Yellow),"Stonewall Confidence (Yellow) is a 'Guardian Action – Aura' card from the 'Welcome to Rathe' set. It costs 2, pitches for 2, defends for 3, has None power, and has the abilities; **Go again**

Cards you control with cost 3 or greater gain +3{d} while defending.

At the beginning of your action phase, destroy Stonewall Confidence."
Stonewall Confidence (Blue),"Stonewall Confidence (Blue) is a 'Guardian Action – Aura' card from the 'Welcome to Rathe' set. It costs 2, pitches for 3, defends for 3, has None power, and has the abilities; **Go again**

Cards you control with cost 3 or greater gain +2{d} while defending.

At the beginning of your action phase, destroy Stonewall Confidence."
Stroke of Foresight (Red),"Stroke of Foresight (Red) is a 'Warrior Attack Reaction' card from the 'Welcome to Rathe' set. It costs 1, pitches for 1, defends for 3, has None power, and has the abilities; Target weapon attack gains +3{p}.

**Reprise** - If the defending hero has defended with a card from their hand this chain link, draw a card, then put a card from your hand on the top or bottom of your deck."
Stroke of Foresight (Yellow),"Stroke of Foresight (Yellow) is a 'Warrior Attack Reaction' card from the 'Welcome to Rathe' set. It costs 1, pitches for 2, defends for 3, has None power, and has the abilities; Target weapon attack gains +2{p}.

**Reprise** - If the defending hero has defended with a card from their hand this chain link, draw a card, then put a card from your hand on the top or bottom of your deck."
Stroke of Foresight (Blue),"Stroke of Foresight (Blue) is a 'Warrior Attack Reaction' card from the 'Welcome to Rathe' set. It costs 1, pitches for 3, defends for 3, has None power, and has the abilities; Target weapon attack gains +1{p}.

**Reprise** - If the defending hero has defended with a card from their hand this chain link, draw a card, then put a card from your hand on the top or bottom of your deck."
Surging Strike (Red),"Surging Strike (Red) is a 'Ninja Action – Attack' card from the 'Welcome to Rathe' set. It costs 2, pitches for 1, defends for 2, has 5 power, and has the abilities; **Go again**"
Surging Strike (Yellow),"Surging Strike (Yellow) is a 'Ninja Action – Attack' card from the 'Welcome to Rathe' set. It costs 2, pitches for 2, defends for 2, has 4 power, and has the abilities; **Go again**"
Surging Strike (Blue),"Surging Strike (Blue) is a 'Ninja Action – Attack' card from the 'Welcome to Rathe' set. It costs 2, pitches for 3, defends for 2, has 3 power, and has the abilities; **Go again**"
Tectonic Plating,"Tectonic Plating is a 'Guardian Equipment – Chest' card from the 'Welcome to Rathe' set. It defends for 2 and has the abilities; **Once per turn Action** - {r}: Create a Seismic Surge aura token. **Go again**

**Battleworn**"
Timesnap Potion,"Timesnap Potion is a 'Generic Action – Item' card from the 'Welcome to Rathe' set. It costs 0, pitches for 3, defends for None, has None power, and has the abilities; **Action** - Destroy Timesnap Potion: Gain 2 action points."
Tome of Fyendal,"Tome of Fyendal is a 'Generic Action' card from the 'Welcome to Rathe' set. It costs 1, pitches for 2, defends for 2, has None power, and has the abilities; Draw 2 cards.

If Tome of Fyendal is played from arsenal, gain 1{h} for each card in your hand."
Unmovable (Red),"Unmovable (Red) is a 'Generic Defense Reaction' card from the 'Welcome to Rathe' set. It costs 3, pitches for 1, defends for 7, has None power, and has the abilities; If Unmovable is played from arsenal, it gains +1{d}."
Unmovable (Yellow),"Unmovable (Yellow) is a 'Generic Defense Reaction' card from the 'Welcome to Rathe' set. It costs 3, pitches for 2, defends for 6, has None power, and has the abilities; If Unmovable is played from arsenal, it gains +1{d}."
Unmovable (Blue),"Unmovable (Blue) is a 'Generic Defense Reaction' card from the 'Welcome to Rathe' set. It costs 3, pitches for 3, defends for 5, has None power, and has the abilities; If Unmovable is played from arsenal, it gains +1{d}."
Warrior's Valor (Red),"Warrior's Valor (Red) is a 'Warrior Action' card from the 'Welcome to Rathe' set. It costs 1, pitches for 1, defends for 3, has None power, and has the abilities; Your next weapon attack this turn gains +3{p} and ""If this hits, the attack gains **go again**.""

**Go again**"
Warrior's Valor (Yellow),"Warrior's Valor (Yellow) is a 'Warrior Action' card from the 'Welcome to Rathe' set. It costs 1, pitches for 2, defends for 3, has None power, and has the abilities; Your next weapon attack this turn gains +2{p} and ""If this hits, the attack gains **go again**.""

**Go again**"
